wyscout_name,clubelo_name
Birmingham City,Birmingham
Barnsley,Barnsley
Genk,Genk
Spartak Moskva,Spartak Moskva
Standard Liège,Standard
Bolton Wanderers,Bolton
Rheindorf Altach,Altach
Leeds United,Leeds
Middlesbrough,Middlesbrough
Belenenses,Belenenses
Dynamo Kyiv,Dynamo Kyiv
Rayo Vallecano,Rayo Vallecano
Almería,Almeria
Osasuna,Osasuna
Cádiz,Cadiz
Shakhtar Donetsk,Shakhtar
Lokeren,Lokeren
Aston Villa,Aston Villa
LASK Linz,LASK
Vitória Setúbal,Setubal
Nürnberg,Nuernberg
Real Oviedo,Oviedo
Heidenheim,Heidenheim
Huesca,Huesca
Greuther Fürth,Fuerth
Paços de Ferreira,Pacos Ferreira
Granada,Granada
Kayserispor,Kayseri
Mouscron-Péruwelz,Mouscron
Bursaspor,Bursaspor
KAS Eupen,Eupen
Sturm Graz,Sturm Graz
Gençlerbirliği,Glencerbirgli
Derby County,Derby
Rio Ave,Rio Ave
Waasland-Beveren,Beveren
Gent,Gent
Portimonense,Portimonense
Holstein Kiel,Holstein
Wolfsburg,Wolfsburg
Portsmouth,
Alanyaspor,Alanyaspor
Vorskla,Vorskla
Córdoba,Cordoba
St. Gallen,StGallen
Luzern,Luzern
Lugo,Lugo
KV Oostende,Oostende
Union Berlin,Union Berlin
Sporting Gijón,Gijon
Eintracht Braunschweig,Braunschweig
Feirense,Feirense
Marítimo,Maritimo
Stal Kamianske,
Real Zaragoza,Zaragoza
Gimnàstic Tarragona,Gimnastic
Osmanlıspor FK,
Antwerp,Antwerp
Kaiserslautern,Lautern
Zorya,Zorya
Göztepe,Goeztepe
Boavista,Boavista
Sivasspor,Sivasspor
Real Zaragoza II,
Erzgebirge Aue,Aue
Sporting Charleroi,Charleroi
Jahn Regensburg,Regensburg
Ingolstadt,Ingolstadt
Wolfsberger AC,Wolfsberg
Sevilla II,Sevilla B
Metz,Metz
Córdoba II,
Sandhausen,Sandhausen
Fortuna Düsseldorf,Duesseldorf
Sint-Truiden,St Truiden
New York City,
Fenerbahçe,Fenerbahce
Veres,Veres
MSV Duisburg,Duisburg
Las Palmas,Las Palmas
Rapid Wien,Rapid Wien
Kasımpaşa,Kasimpasa
Zürich,Zuerich
Desportivo Aves,Aves
Porto II,
Blackburn Rovers,
Albacete,Albacete
Bochum,Bochum
St. Pauli,St Pauli
Lausanne Sport,Lausanne
Antalyaspor,Antalyaspor
Thun,Thun
Grasshopper,Grasshoppers
Rennes,Rennes
Tondela,Tondela
Moreirense,Moreirense
Oxford United,
Real Valladolid,Valladolid
Admira,Admira
Galatasaray,Galatasaray
Chaves,Chaves
Darmstadt 98,Darmstadt
Akhisar Belediyespor,Akhisar
St. Pölten,St Poelten
Mattersburg,Mattersburg
Lorca FC,Lorca FC
Stuttgart,Stuttgart
Arminia Bielefeld,Biefeld
Hannover 96,Hannover
Diósgyőr,Diosgyori
APOEL,APOEL
Bordeaux,Bordeaux
Trabzonspor,Trabzonspor
Oleksandria,Olexandriya
Chornomorets,Chernomorets
Freiburg,Freiburg
Dynamo Dresden,Dresden
Tenerife,Tenerife
Liefering,
Altınordu,
Slovan Bratislava,Slovan Bratislava
Zhetysu,
Cagliari,Cagliari
OH Leuven,
Zirka,Zirka
Yeni Malatyaspor,Malatyaspor
Estoril,Estoril
Tobol,
Sporting KC,
Sunderland U23,
Sion,Sion
Vitesse,Vitesse
Al Sadd,
Dinamo Bucureşti,Dinamo Bucuresti
Honka,
